# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1749139298520000000,1749139307796000000,0
writeAction.wait.ms,1749139298520000000,1749139307796000000,0
writeAction.count,1749139298520000000,1749139307796000000,1
writeAction.median.wait.ms,1749139298520000000,1749139307796000000,0
workspaceModel.collect.changes.ms,1749139298520000000,1749139307796000000,0
workspaceModel.loading.total.ms,1749139298520000000,1749139307796000000,39
workspaceModel.cachedValueWithParameters.calculated.ms,1749139298520000000,1749139307796000000,0
workspaceModel.updates.precise.ms,1749139298520000000,1749139307796000000,0
workspaceModel.full.replace.project.model.ms,1749139298520000000,1749139307796000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1749139298520000000,1749139307796000000,3
workspaceModel.init.bridges.ms,1749139298520000000,1749139307796000000,0
workspaceModel.cachedValue.clear.ms,1749139298520000000,1749139307796000000,0
workspaceModel.update.unloaded.entities.ms,1749139298520000000,1749139307796000000,0
workspaceModel.loading.from.cache.ms,1749139298520000000,1749139307796000000,31
workspaceModel.cachedValue.from.cache.ms,1749139298520000000,1749139307796000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1749139298520000000,1749139307796000000,0
workspaceModel.replace.project.model.ms,1749139298520000000,1749139307796000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1749139298520000000,1749139307796000000,0
workspaceModel.updates.count,1749139298520000000,1749139307796000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1749139298520000000,1749139307796000000,0
workspaceModel.to.snapshot.ms,1749139298520000000,1749139307796000000,0
workspaceModel.cachedValue.total.get.ms,1749139298520000000,1749139307796000000,0
workspaceModel.check.recursive.update.ms,1749139298520000000,1749139307796000000,0
workspaceModel.updates.ms,1749139298520000000,1749139307796000000,0
workspaceModel.cachedValue.calculated.ms,1749139298520000000,1749139307796000000,0
workspaceModel.initializing.ms,1749139298520000000,1749139307796000000,0
workspaceModel.pre.handlers.ms,1749139298520000000,1749139307796000000,0
NonBlockingReadAction.failedExecutionTimeUs,1749139298520000000,1749139307796000000,0
FlushQueue.queueSize90P,1749139298520000000,1749139307796000000,0
FlushQueue.queueSizeAvg,1749139298520000000,1749139307796000000,0.0
FlushQueue.executionTime90PNs,1749139298520000000,1749139307796000000,0
WriteAction.executionsCount,1749139298520000000,1749139307796000000,1
AWTEventQueue.dispatchTimeTotalNS,1749139298520000000,1749139307796000000,6871518881
AWTEventQueue.eventsDispatched,1749139298520000000,1749139307796000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1749139298520000000,1749139307796000000,41013
AWTEventQueue.dispatchTime90PNs,1749139298520000000,1749139307796000000,0
AWTEventQueue.dispatchTimeMaxNs,1749139298520000000,1749139307796000000,0
FlushQueue.queueSizeMax,1749139298520000000,1749139307796000000,0
FlushQueue.waitingTimeMaxNs,1749139298520000000,1749139307796000000,0
NonBlockingReadAction.failedExecutionsCount,1749139298520000000,1749139307796000000,0
NonBlockingReadAction.finalizedExecutionsCount,1749139298520000000,1749139307796000000,15
FlushQueue.executionTimeAvgNs,1749139298520000000,1749139307796000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1749139298520000000,1749139307796000000,0.0
FlushQueue.waitingTimeAvgNs,1749139298520000000,1749139307796000000,0.0
FlushQueue.waitingTime90PNs,1749139298520000000,1749139307796000000,0
ReadAction.executionsCount,1749139298520000000,1749139307796000000,50085
FlushQueue.executionTimeMaxNs,1749139298520000000,1749139307796000000,0
FlushQueue.tasksExecuted,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.nativeBytesInUse,1749139298520000000,1749139307796000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1749139298520000000,1749139307796000000,41943040
FilePageCacheLockFree.totalPagesRequested,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1749139298520000000,1749139307796000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1749139298520000000,1749139307796000000,41943040
StorageLockContext.competingThreads.avg,1749139298520000000,1749139307796000000,0.0
FilePageCacheLockFree.totalBytesRequested,1749139298520000000,1749139307796000000,0
FilePageCache.maxRegisteredFiles,1749139298520000000,1749139307796000000,537
FilePageCacheLockFree.totalPagesWriteMs,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalPagesAllocated,1749139298520000000,1749139307796000000,0
StorageLockContext.competingThreads.max,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.heapBytesInUse,1749139298520000000,1749139307796000000,0
FilePageCache.uncachedFileAccess,1749139298520000000,1749139307796000000,331
FilePageCacheLockFree.totalPagesWritten,1749139298520000000,1749139307796000000,0
FilePageCache.totalPageLoadsUs,1749139298520000000,1749139307796000000,66736
FilePageCache.pageHits,1749139298520000000,1749139307796000000,0
MappedFileStorage.storages,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalPagesReclaimed,1749139298520000000,1749139307796000000,0
DirectByteBufferAllocator.hits,1749139298520000000,1749139307796000000,3
FilePageCacheLockFree.totalHeapBytesReclaimed,1749139298520000000,1749139307796000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalPagesReadMs,1749139298520000000,1749139307796000000,0
StorageLockContext.competingThreads.90P,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalPagesHandedOver,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalBytesRead,1749139298520000000,1749139307796000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1749139298520000000,1749139307796000000,0
MappedFileStorage.totalBytesMapped,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1749139298520000000,1749139307796000000,0
FilePageCache.totalPageDisposalsUs,1749139298520000000,1749139307796000000,921
FilePageCacheLockFree.totalPageAllocationsWaited,1749139298520000000,1749139307796000000,0
FilePageCache.disposedBuffers,1749139298520000000,1749139307796000000,196
FilePageCache.capacityInBytes,1749139298520000000,1749139307796000000,503316478
DirectByteBufferAllocator.reclaimed,1749139298520000000,1749139307796000000,43
FilePageCacheLockFree.totalBytesWritten,1749139298520000000,1749139307796000000,0
DirectByteBufferAllocator.disposed,1749139298520000000,1749139307796000000,153
FilePageCacheLockFree.totalPagesRequestsMs,1749139298520000000,1749139307796000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1749139298520000000,1749139307796000000,0
FilePageCache.pageLoads,1749139298520000000,1749139307796000000,196
FilePageCache.pageFastCacheHits,1749139298520000000,1749139307796000000,13598
DirectByteBufferAllocator.misses,1749139298520000000,1749139307796000000,193
MappedFileStorage.totalPagesMapped,1749139298520000000,1749139307796000000,0
FilePageCache.maxCacheSizeInBytes,1749139298520000000,1749139307796000000,202375168
MappedFileStorage.totalTimeSpentOnMappingUs,1749139298520000000,1749139307796000000,1149531
workspaceModel.mutableEntityStorage.to.snapshot.ms,1749139298520000000,1749139307796000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1749139298520000000,1749139307796000000,0
workspaceModel.sync.entities.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1749139298520000000,1749139307796000000,0
workspaceModel.do.save.caches.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1749139298520000000,1749139307796000000,0
jps.library.entities.serializer.load.entities.ms,1749139298520000000,1749139307796000000,0
workspaceModel.load.cache.from.file.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1749139298520000000,1749139307796000000,0
jps.save.global.entities.ms,1749139298520000000,1749139307796000000,0
workspaceModel.global.updates.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1749139298520000000,1749139307796000000,0
jps.global.get.library.by.name.ms,1749139298520000000,1749139307796000000,0
jps.global.get.libraries.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1749139298520000000,1749139307796000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1749139298520000000,1749139307796000000,0
jps.global.handle.before.change.events.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1749139298520000000,1749139307796000000,0
workspaceModel.load.cache.metadata.from.file.ms,1749139298520000000,1749139307796000000,0
jps.library.entities.serializer.save.entities.ms,1749139298520000000,1749139307796000000,0
workspaceModel.save.cache.to.file.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1749139298520000000,1749139307796000000,0
jps.global.initialize.library.bridges.ms,1749139298520000000,1749139307796000000,0
jps.app.storage.content.reader.load.component.ms,1749139298520000000,1749139307796000000,1
workspaceModel.mutableEntityStorage.instances.count,1749139298520000000,1749139307796000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1749139298520000000,1749139307796000000,0
workspaceModel.global.updates.count,1749139298520000000,1749139307796000000,0
jps.global.get.library.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.entities.ms,1749139298520000000,1749139307796000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1749139298520000000,1749139307796000000,0
jps.global.handle.changed.events.ms,1749139298520000000,1749139307796000000,0
jps.global.initialize.library.bridges.after.loading.ms,1749139298520000000,1749139307796000000,2
workspaceModel.global.apply.state.to.project.ms,1749139298520000000,1749139307796000000,0
jps.load.initial.state.ms,1749139298520000000,1749139307796000000,13
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749139298520000000,1749139307796000000,0
VFS.fileByIdCache.hits,1749139298520000000,1749139307796000000,0
VFS.fileByIdCache.misses,1749139298520000000,1749139307796000000,0
VFS.invertedFileNameIndex.requests,1749139298520000000,1749139307796000000,0
VFS.fileChildByName,1749139298520000000,1749139307796000000,13
cacheStateStorage.set.duration,1749139298520000000,1749139307796000000,0
cacheStateStorage.get.counter,1749139298520000000,1749139307796000000,10
cacheStateStorage.get.duration,1749139298520000000,1749139307796000000,0
cacheStateStorage.set.counter,1749139298520000000,1749139307796000000,0
